video_id,segment_id,video_path,transcript,duration,channel
6RBn0IVd3J4,000000,data/iborotti/clips/6RBn0IVd3J4/000000/mouth.mp4,"Hakikatin önemsizleşmesi, post -truth, seçkinlerin hakikatinin önemsizleşmesidir gerçekten.",6.66,AVANGART
6RBn0IVd3J4,000001,data/iborotti/clips/6RBn0IVd3J4/000001/mouth.mp4,"Fakat seçkinler hala söylem konusunda baskın oldukları için, gerçekliğin bir pürüzsüz temsili olarak ürettikleri kendi hakikatlerini bir sosyal hakikat olarak dile getirmezler,",15.2,AVANGART
6RBn0IVd3J4,000002,data/iborotti/clips/6RBn0IVd3J4/000002/mouth.mp4,dı hakikat olarak dile getirirler.,2.46,AVANGART
6RBn0IVd3J4,000003,data/iborotti/clips/6RBn0IVd3J4/000003/mouth.mp4,"Şöyle diyebiliriz kutuplaşma için, bir toplumda en az iki farklı görüşün birbirleriyle işaretler sistemi bağlamında ve simgesel düzen kurma bağlamında yaptıkları adlandırmaların ve tanımlamaların",15.51,AVANGART
6RBn0IVd3J4,000004,data/iborotti/clips/6RBn0IVd3J4/000004/mouth.mp4,birbirleriyle hiç uyuşmaması ve buna rağmen birbirleri arasında bir bağlantı kurup acaba bir uzlaşma yapabilir miyiz diye düşünülmemesi karşı tarafı sadece olası görüşlerden bir başkası olarak,16.14,AVANGART
6RBn0IVd3J4,000005,data/iborotti/clips/6RBn0IVd3J4/000005/mouth.mp4,"değil, düşman olarak görmesi.",2.54,AVANGART
6RBn0IVd3J4,000006,data/iborotti/clips/6RBn0IVd3J4/000006/mouth.mp4,"Merhabalar, bugün kutuplaşma üzerine konuşacağız.",3.63,AVANGART
6RBn0IVd3J4,000007,data/iborotti/clips/6RBn0IVd3J4/000007/mouth.mp4,Kutuplaşma bayadır hayatımızda var olan bir kelime.,3.24,AVANGART
6RBn0IVd3J4,000008,data/iborotti/clips/6RBn0IVd3J4/000008/mouth.mp4,Belki de post -truth tartışmalarıyla ben onu hakikatin önemsizleşmesi olarak çevirmiştim.,4.46,AVANGART
6RBn0IVd3J4,000009,data/iborotti/clips/6RBn0IVd3J4/000009/mouth.mp4,Yalanın Siyaseti adlı kitabımda 2017'de.,2.38,AVANGART
6RBn0IVd3J4,000010,data/iborotti/clips/6RBn0IVd3J4/000010/mouth.mp4,"Popülizm, kutuplaşma, post -truth, post -modernizm bence bunlar el ele gelen bir işaretler sistemi.",7.3,AVANGART
6RBn0IVd3J4,000011,data/iborotti/clips/6RBn0IVd3J4/000011/mouth.mp4,Ve aynı zamanda yeni bir simgesel düzen.,3.34,AVANGART
6RBn0IVd3J4,000012,data/iborotti/clips/6RBn0IVd3J4/000012/mouth.mp4,"Bu işaretler sistemi arasında kutuplaşma,",3.22,AVANGART
6RBn0IVd3J4,000013,data/iborotti/clips/6RBn0IVd3J4/000013/mouth.mp4,biliyorsunuz çeşitli sözlükler yılın sözcüklerini seçiyorlar.,3.88,AVANGART
6RBn0IVd3J4,000014,data/iborotti/clips/6RBn0IVd3J4/000014/mouth.mp4,Webster sözlüğü de yılın sözcüğü olarak kutuplaşmayı seçti.,4.32,AVANGART
6RBn0IVd3J4,000015,data/iborotti/clips/6RBn0IVd3J4/000015/mouth.mp4,Açıkçası birazcık da geç kalınmış bir seçim gibi görünüyor.,4.06,AVANGART
6RBn0IVd3J4,000016,data/iborotti/clips/6RBn0IVd3J4/000016/mouth.mp4,Nedir bu kutuplaşma dediğimizde şöyle belki başlayabiliriz buna.,4.56,AVANGART
